Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
320645,gn_1149361,Afghanistan,AF,Afghanistan,gn_1149361,gn,0,gn_1149361,,,,,
320644,gn_1147745,Badakhshan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1147745,,,,
320643,gn_1147707,Badghis,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1147707,,,,
320642,gn_1147537,Baghlan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1147537,,,,
320640,gn_1147239,Bamyan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1147239,,,,
320648,gn_6957553,Daykundi,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_6957553,,,,
320639,gn_1142263,Farah,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1142263,,,,
320638,gn_1142226,Faryab,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1142226,,,,
320637,gn_1141268,Ghazni,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1141268,,,,
320636,gn_1141103,Ghor,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1141103,,,,
320634,gn_1140043,Helmand,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1140043,,,,
320633,gn_1140025,Herat,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1140025,,,,
320632,gn_1139049,Jowzjan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1139049,,,,
320630,gn_1138335,Kandahar,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1138335,,,,
320629,gn_1138255,Kapisa,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1138255,,,,
320628,gn_1135702,Kunar,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1135702,,,,
320627,gn_1135690,Kunduz,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1135690,,,,
320626,gn_1135022,Laghman,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1135022,,,,
320625,gn_1134561,Logar,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1134561,,,,
320624,gn_1132366,Nangarhar,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1132366,,,,
320623,gn_1131821,Nimroz,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1131821,,,,
320647,gn_1444363,Nuristan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1444363,,,,
320620,gn_1131256,Paktika,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1131256,,,,
320621,gn_1131257,Paktiya,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1131257,,,,
320649,gn_6957555,Panjshir,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_6957555,,,,
320618,gn_1127766,Samangan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1127766,,,,
320614,gn_1123230,Takhar,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1123230,,,,
320622,gn_1131461,Uruzgan,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1131461,,,,
320612,gn_1121143,Zabul,AF,Afghanistan,gn_1149361,gn,1,gn_1149361,gn_1121143,,,,
321395,gn_783754,Albania,AL,Albania,gn_783754,gn,0,gn_783754,,,,,
321422,gn_865730,Berat,AL,Albania,gn_783754,gn,1,gn_783754,gn_865730,,,,
321423,gn_865731,Diber,AL,Albania,gn_783754,gn,1,gn_783754,gn_865731,,,,
321693,gn_3344947,Durres,AL,Albania,gn_783754,gn,1,gn_783754,gn_3344947,,,,
321424,gn_865732,Elbasan,AL,Albania,gn_783754,gn,1,gn_783754,gn_865732,,,,
321694,gn_3344948,Fier,AL,Albania,gn_783754,gn,1,gn_783754,gn_3344948,,,,
321425,gn_865733,Gjirokaster,AL,Albania,gn_783754,gn,1,gn_783754,gn_865733,,,,
321426,gn_865734,Korce,AL,Albania,gn_783754,gn,1,gn_783754,gn_865734,,,,
321695,gn_3344949,Lezhe,AL,Albania,gn_783754,gn,1,gn_783754,gn_3344949,,,,
321696,gn_3344950,Shkoder,AL,Albania,gn_783754,gn,1,gn_783754,gn_3344950,,,,
